id,English,Hindi,Kannada,Tamil,Bengali,Assamese
85,Check weather alerts before traveling to mountain paths,[Hindi translation needed: Check weather alerts before traveling to mountain paths],[Kannada translation needed: Check weather alerts before traveling to mountain paths],[Tamil translation needed: Check weather alerts before traveling to mountain paths],[Bengali translation needed: Check weather alerts before traveling to mountain paths],[Assamese translation needed: Check weather alerts before traveling to mountain paths]
86,Use only registered guides in remote villages,[Hindi translation needed: Use only registered guides in remote villages],[Kannada translation needed: Use only registered guides in remote villages],[Tamil translation needed: Use only registered guides in remote villages],[Bengali translation needed: Use only registered guides in remote villages],[Assamese translation needed: Use only registered guides in remote villages]
87,Stay on marked paths while visiting river ferries,[Hindi translation needed: Stay on marked paths while visiting river ferries],[Kannada translation needed: Stay on marked paths while visiting river ferries],[Tamil translation needed: Stay on marked paths while visiting river ferries],[Bengali translation needed: Stay on marked paths while visiting river ferries],[Assamese translation needed: Stay on marked paths while visiting river ferries]
88,Respect wildlife and keep 13 meters away in crowded trains,[Hindi translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Kannada translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Tamil translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Bengali translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Assamese translation needed: Respect wildlife and keep 13 meters away in crowded trains]
89,Dispose of trash properly to protect river ferries,[Hindi translation needed: Dispose of trash properly to protect river ferries],[Kannada translation needed: Dispose of trash properly to protect river ferries],[Tamil translation needed: Dispose of trash properly to protect river ferries],[Bengali translation needed: Dispose of trash properly to protect river ferries],[Assamese translation needed: Dispose of trash properly to protect river ferries]
90,Carry at least 4 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 4 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 4 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 4 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 4 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 4 liters of water when hiking in river ferries]
91,Inform a friend before exploring desert trails alone,[Hindi translation needed: Inform a friend before exploring desert trails alone],[Kannada translation needed: Inform a friend before exploring desert trails alone],[Tamil translation needed: Inform a friend before exploring desert trails alone],[Bengali translation needed: Inform a friend before exploring desert trails alone],[Assamese translation needed: Inform a friend before exploring desert trails alone]
92,Avoid flashing valuables in mountain paths to prevent theft,[Hindi translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Kannada translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Tamil translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Bengali translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Assamese translation needed: Avoid flashing valuables in mountain paths to prevent theft]
93,Wear protective gear when riding bikes on busy markets,[Hindi translation needed: Wear protective gear when riding bikes on busy markets],[Kannada translation needed: Wear protective gear when riding bikes on busy markets],[Tamil translation needed: Wear protective gear when riding bikes on busy markets],[Bengali translation needed: Wear protective gear when riding bikes on busy markets],[Assamese translation needed: Wear protective gear when riding bikes on busy markets]
94,Keep emergency contacts saved before entering mountain paths,[Hindi translation needed: Keep emergency contacts saved before entering mountain paths],[Kannada translation needed: Keep emergency contacts saved before entering mountain paths],[Tamil translation needed: Keep emergency contacts saved before entering mountain paths],[Bengali translation needed: Keep emergency contacts saved before entering mountain paths],[Assamese translation needed: Keep emergency contacts saved before entering mountain paths]
95,Check weather alerts before traveling to remote villages,[Hindi translation needed: Check weather alerts before traveling to remote villages],[Kannada translation needed: Check weather alerts before traveling to remote villages],[Tamil translation needed: Check weather alerts before traveling to remote villages],[Bengali translation needed: Check weather alerts before traveling to remote villages],[Assamese translation needed: Check weather alerts before traveling to remote villages]
96,Use only registered guides in beach resorts,[Hindi translation needed: Use only registered guides in beach resorts],[Kannada translation needed: Use only registered guides in beach resorts],[Tamil translation needed: Use only registered guides in beach resorts],[Bengali translation needed: Use only registered guides in beach resorts],[Assamese translation needed: Use only registered guides in beach resorts]
97,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
98,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
99,Dispose of trash properly to protect desert trails,[Hindi translation needed: Dispose of trash properly to protect desert trails],[Kannada translation needed: Dispose of trash properly to protect desert trails],[Tamil translation needed: Dispose of trash properly to protect desert trails],[Bengali translation needed: Dispose of trash properly to protect desert trails],[Assamese translation needed: Dispose of trash properly to protect desert trails]
100,Carry at least 2 liters of water when hiking in city streets,[Hindi translation needed: Carry at least 2 liters of water when hiking in city streets],[Kannada translation needed: Carry at least 2 liters of water when hiking in city streets],[Tamil translation needed: Carry at least 2 liters of water when hiking in city streets],[Bengali translation needed: Carry at least 2 liters of water when hiking in city streets],[Assamese translation needed: Carry at least 2 liters of water when hiking in city streets]
101,Inform a friend before exploring national parks alone,[Hindi translation needed: Inform a friend before exploring national parks alone],[Kannada translation needed: Inform a friend before exploring national parks alone],[Tamil translation needed: Inform a friend before exploring national parks alone],[Bengali translation needed: Inform a friend before exploring national parks alone],[Assamese translation needed: Inform a friend before exploring national parks alone]
102,Avoid flashing valuables in busy markets to prevent theft,[Hindi translation needed: Avoid flashing valuables in busy markets to prevent theft],[Kannada translation needed: Avoid flashing valuables in busy markets to prevent theft],[Tamil translation needed: Avoid flashing valuables in busy markets to prevent theft],[Bengali translation needed: Avoid flashing valuables in busy markets to prevent theft],[Assamese translation needed: Avoid flashing valuables in busy markets to prevent theft]
103,Wear protective gear when riding bikes on remote villages,[Hindi translation needed: Wear protective gear when riding bikes on remote villages],[Kannada translation needed: Wear protective gear when riding bikes on remote villages],[Tamil translation needed: Wear protective gear when riding bikes on remote villages],[Bengali translation needed: Wear protective gear when riding bikes on remote villages],[Assamese translation needed: Wear protective gear when riding bikes on remote villages]
104,Keep emergency contacts saved before entering beach resorts,[Hindi translation needed: Keep emergency contacts saved before entering beach resorts],[Kannada translation needed: Keep emergency contacts saved before entering beach resorts],[Tamil translation needed: Keep emergency contacts saved before entering beach resorts],[Bengali translation needed: Keep emergency contacts saved before entering beach resorts],[Assamese translation needed: Keep emergency contacts saved before entering beach resorts]
105,Check weather alerts before traveling to remote villages,[Hindi translation needed: Check weather alerts before traveling to remote villages],[Kannada translation needed: Check weather alerts before traveling to remote villages],[Tamil translation needed: Check weather alerts before traveling to remote villages],[Bengali translation needed: Check weather alerts before traveling to remote villages],[Assamese translation needed: Check weather alerts before traveling to remote villages]
106,Use only registered guides in busy markets,[Hindi translation needed: Use only registered guides in busy markets],[Kannada translation needed: Use only registered guides in busy markets],[Tamil translation needed: Use only registered guides in busy markets],[Bengali translation needed: Use only registered guides in busy markets],[Assamese translation needed: Use only registered guides in busy markets]
107,Stay on marked paths while visiting mountain paths,[Hindi translation needed: Stay on marked paths while visiting mountain paths],[Kannada translation needed: Stay on marked paths while visiting mountain paths],[Tamil translation needed: Stay on marked paths while visiting mountain paths],[Bengali translation needed: Stay on marked paths while visiting mountain paths],[Assamese translation needed: Stay on marked paths while visiting mountain paths]
108,Respect wildlife and keep 13 meters away in beach resorts,[Hindi translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Kannada translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Tamil translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Bengali translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Assamese translation needed: Respect wildlife and keep 13 meters away in beach resorts]
109,Dispose of trash properly to protect national parks,[Hindi translation needed: Dispose of trash properly to protect national parks],[Kannada translation needed: Dispose of trash properly to protect national parks],[Tamil translation needed: Dispose of trash properly to protect national parks],[Bengali translation needed: Dispose of trash properly to protect national parks],[Assamese translation needed: Dispose of trash properly to protect national parks]
110,Carry at least 4 liters of water when hiking in desert trails,[Hindi translation needed: Carry at least 4 liters of water when hiking in desert trails],[Kannada translation needed: Carry at least 4 liters of water when hiking in desert trails],[Tamil translation needed: Carry at least 4 liters of water when hiking in desert trails],[Bengali translation needed: Carry at least 4 liters of water when hiking in desert trails],[Assamese translation needed: Carry at least 4 liters of water when hiking in desert trails]
111,Inform a friend before exploring river ferries alone,[Hindi translation needed: Inform a friend before exploring river ferries alone],[Kannada translation needed: Inform a friend before exploring river ferries alone],[Tamil translation needed: Inform a friend before exploring river ferries alone],[Bengali translation needed: Inform a friend before exploring river ferries alone],[Assamese translation needed: Inform a friend before exploring river ferries alone]
112,Avoid flashing valuables in busy markets to prevent theft,[Hindi translation needed: Avoid flashing valuables in busy markets to prevent theft],[Kannada translation needed: Avoid flashing valuables in busy markets to prevent theft],[Tamil translation needed: Avoid flashing valuables in busy markets to prevent theft],[Bengali translation needed: Avoid flashing valuables in busy markets to prevent theft],[Assamese translation needed: Avoid flashing valuables in busy markets to prevent theft]
113,Wear protective gear when riding bikes on busy markets,[Hindi translation needed: Wear protective gear when riding bikes on busy markets],[Kannada translation needed: Wear protective gear when riding bikes on busy markets],[Tamil translation needed: Wear protective gear when riding bikes on busy markets],[Bengali translation needed: Wear protective gear when riding bikes on busy markets],[Assamese translation needed: Wear protective gear when riding bikes on busy markets]
114,Keep emergency contacts saved before entering river ferries,[Hindi translation needed: Keep emergency contacts saved before entering river ferries],[Kannada translation needed: Keep emergency contacts saved before entering river ferries],[Tamil translation needed: Keep emergency contacts saved before entering river ferries],[Bengali translation needed: Keep emergency contacts saved before entering river ferries],[Assamese translation needed: Keep emergency contacts saved before entering river ferries]
115,Check weather alerts before traveling to desert trails,[Hindi translation needed: Check weather alerts before traveling to desert trails],[Kannada translation needed: Check weather alerts before traveling to desert trails],[Tamil translation needed: Check weather alerts before traveling to desert trails],[Bengali translation needed: Check weather alerts before traveling to desert trails],[Assamese translation needed: Check weather alerts before traveling to desert trails]
116,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
117,Stay on marked paths while visiting mountain paths,[Hindi translation needed: Stay on marked paths while visiting mountain paths],[Kannada translation needed: Stay on marked paths while visiting mountain paths],[Tamil translation needed: Stay on marked paths while visiting mountain paths],[Bengali translation needed: Stay on marked paths while visiting mountain paths],[Assamese translation needed: Stay on marked paths while visiting mountain paths]
118,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
119,Dispose of trash properly to protect desert trails,[Hindi translation needed: Dispose of trash properly to protect desert trails],[Kannada translation needed: Dispose of trash properly to protect desert trails],[Tamil translation needed: Dispose of trash properly to protect desert trails],[Bengali translation needed: Dispose of trash properly to protect desert trails],[Assamese translation needed: Dispose of trash properly to protect desert trails]
120,Carry at least 2 liters of water when hiking in beach resorts,[Hindi translation needed: Carry at least 2 liters of water when hiking in beach resorts],[Kannada translation needed: Carry at least 2 liters of water when hiking in beach resorts],[Tamil translation needed: Carry at least 2 liters of water when hiking in beach resorts],[Bengali translation needed: Carry at least 2 liters of water when hiking in beach resorts],[Assamese translation needed: Carry at least 2 liters of water when hiking in beach resorts]
121,Inform a friend before exploring crowded trains alone,[Hindi translation needed: Inform a friend before exploring crowded trains alone],[Kannada translation needed: Inform a friend before exploring crowded trains alone],[Tamil translation needed: Inform a friend before exploring crowded trains alone],[Bengali translation needed: Inform a friend before exploring crowded trains alone],[Assamese translation needed: Inform a friend before exploring crowded trains alone]
122,Avoid flashing valuables in remote villages to prevent theft,[Hindi translation needed: Avoid flashing valuables in remote villages to prevent theft],[Kannada translation needed: Avoid flashing valuables in remote villages to prevent theft],[Tamil translation needed: Avoid flashing valuables in remote villages to prevent theft],[Bengali translation needed: Avoid flashing valuables in remote villages to prevent theft],[Assamese translation needed: Avoid flashing valuables in remote villages to prevent theft]
123,Wear protective gear when riding bikes on national parks,[Hindi translation needed: Wear protective gear when riding bikes on national parks],[Kannada translation needed: Wear protective gear when riding bikes on national parks],[Tamil translation needed: Wear protective gear when riding bikes on national parks],[Bengali translation needed: Wear protective gear when riding bikes on national parks],[Assamese translation needed: Wear protective gear when riding bikes on national parks]
124,Keep emergency contacts saved before entering mountain paths,[Hindi translation needed: Keep emergency contacts saved before entering mountain paths],[Kannada translation needed: Keep emergency contacts saved before entering mountain paths],[Tamil translation needed: Keep emergency contacts saved before entering mountain paths],[Bengali translation needed: Keep emergency contacts saved before entering mountain paths],[Assamese translation needed: Keep emergency contacts saved before entering mountain paths]
125,Check weather alerts before traveling to desert trails,[Hindi translation needed: Check weather alerts before traveling to desert trails],[Kannada translation needed: Check weather alerts before traveling to desert trails],[Tamil translation needed: Check weather alerts before traveling to desert trails],[Bengali translation needed: Check weather alerts before traveling to desert trails],[Assamese translation needed: Check weather alerts before traveling to desert trails]
126,Use only registered guides in heritage sites,[Hindi translation needed: Use only registered guides in heritage sites],[Kannada translation needed: Use only registered guides in heritage sites],[Tamil translation needed: Use only registered guides in heritage sites],[Bengali translation needed: Use only registered guides in heritage sites],[Assamese translation needed: Use only registered guides in heritage sites]
127,Stay on marked paths while visiting beach resorts,[Hindi translation needed: Stay on marked paths while visiting beach resorts],[Kannada translation needed: Stay on marked paths while visiting beach resorts],[Tamil translation needed: Stay on marked paths while visiting beach resorts],[Bengali translation needed: Stay on marked paths while visiting beach resorts],[Assamese translation needed: Stay on marked paths while visiting beach resorts]
128,Respect wildlife and keep 13 meters away in desert trails,[Hindi translation needed: Respect wildlife and keep 13 meters away in desert trails],[Kannada translation needed: Respect wildlife and keep 13 meters away in desert trails],[Tamil translation needed: Respect wildlife and keep 13 meters away in desert trails],[Bengali translation needed: Respect wildlife and keep 13 meters away in desert trails],[Assamese translation needed: Respect wildlife and keep 13 meters away in desert trails]
129,Dispose of trash properly to protect national parks,[Hindi translation needed: Dispose of trash properly to protect national parks],[Kannada translation needed: Dispose of trash properly to protect national parks],[Tamil translation needed: Dispose of trash properly to protect national parks],[Bengali translation needed: Dispose of trash properly to protect national parks],[Assamese translation needed: Dispose of trash properly to protect national parks]
130,Carry at least 4 liters of water when hiking in crowded trains,[Hindi translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Kannada translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Tamil translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Bengali translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Assamese translation needed: Carry at least 4 liters of water when hiking in crowded trains]
131,Inform a friend before exploring busy markets alone,[Hindi translation needed: Inform a friend before exploring busy markets alone],[Kannada translation needed: Inform a friend before exploring busy markets alone],[Tamil translation needed: Inform a friend before exploring busy markets alone],[Bengali translation needed: Inform a friend before exploring busy markets alone],[Assamese translation needed: Inform a friend before exploring busy markets alone]
132,Avoid flashing valuables in city streets to prevent theft,[Hindi translation needed: Avoid flashing valuables in city streets to prevent theft],[Kannada translation needed: Avoid flashing valuables in city streets to prevent theft],[Tamil translation needed: Avoid flashing valuables in city streets to prevent theft],[Bengali translation needed: Avoid flashing valuables in city streets to prevent theft],[Assamese translation needed: Avoid flashing valuables in city streets to prevent theft]
133,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
134,Keep emergency contacts saved before entering busy markets,[Hindi translation needed: Keep emergency contacts saved before entering busy markets],[Kannada translation needed: Keep emergency contacts saved before entering busy markets],[Tamil translation needed: Keep emergency contacts saved before entering busy markets],[Bengali translation needed: Keep emergency contacts saved before entering busy markets],[Assamese translation needed: Keep emergency contacts saved before entering busy markets]
135,Check weather alerts before traveling to city streets,[Hindi translation needed: Check weather alerts before traveling to city streets],[Kannada translation needed: Check weather alerts before traveling to city streets],[Tamil translation needed: Check weather alerts before traveling to city streets],[Bengali translation needed: Check weather alerts before traveling to city streets],[Assamese translation needed: Check weather alerts before traveling to city streets]
136,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
137,Stay on marked paths while visiting city streets,[Hindi translation needed: Stay on marked paths while visiting city streets],[Kannada translation needed: Stay on marked paths while visiting city streets],[Tamil translation needed: Stay on marked paths while visiting city streets],[Bengali translation needed: Stay on marked paths while visiting city streets],[Assamese translation needed: Stay on marked paths while visiting city streets]
138,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
139,Dispose of trash properly to protect city streets,[Hindi translation needed: Dispose of trash properly to protect city streets],[Kannada translation needed: Dispose of trash properly to protect city streets],[Tamil translation needed: Dispose of trash properly to protect city streets],[Bengali translation needed: Dispose of trash properly to protect city streets],[Assamese translation needed: Dispose of trash properly to protect city streets]
140,Carry at least 2 liters of water when hiking in mountain paths,[Hindi translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Kannada translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Tamil translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Bengali translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Assamese translation needed: Carry at least 2 liters of water when hiking in mountain paths]
141,Inform a friend before exploring national parks alone,[Hindi translation needed: Inform a friend before exploring national parks alone],[Kannada translation needed: Inform a friend before exploring national parks alone],[Tamil translation needed: Inform a friend before exploring national parks alone],[Bengali translation needed: Inform a friend before exploring national parks alone],[Assamese translation needed: Inform a friend before exploring national parks alone]
142,Avoid flashing valuables in river ferries to prevent theft,[Hindi translation needed: Avoid flashing valuables in river ferries to prevent theft],[Kannada translation needed: Avoid flashing valuables in river ferries to prevent theft],[Tamil translation needed: Avoid flashing valuables in river ferries to prevent theft],[Bengali translation needed: Avoid flashing valuables in river ferries to prevent theft],[Assamese translation needed: Avoid flashing valuables in river ferries to prevent theft]
143,Wear protective gear when riding bikes on mountain paths,[Hindi translation needed: Wear protective gear when riding bikes on mountain paths],[Kannada translation needed: Wear protective gear when riding bikes on mountain paths],[Tamil translation needed: Wear protective gear when riding bikes on mountain paths],[Bengali translation needed: Wear protective gear when riding bikes on mountain paths],[Assamese translation needed: Wear protective gear when riding bikes on mountain paths]
144,Keep emergency contacts saved before entering national parks,[Hindi translation needed: Keep emergency contacts saved before entering national parks],[Kannada translation needed: Keep emergency contacts saved before entering national parks],[Tamil translation needed: Keep emergency contacts saved before entering national parks],[Bengali translation needed: Keep emergency contacts saved before entering national parks],[Assamese translation needed: Keep emergency contacts saved before entering national parks]
145,Check weather alerts before traveling to heritage sites,[Hindi translation needed: Check weather alerts before traveling to heritage sites],[Kannada translation needed: Check weather alerts before traveling to heritage sites],[Tamil translation needed: Check weather alerts before traveling to heritage sites],[Bengali translation needed: Check weather alerts before traveling to heritage sites],[Assamese translation needed: Check weather alerts before traveling to heritage sites]
146,Use only registered guides in remote villages,[Hindi translation needed: Use only registered guides in remote villages],[Kannada translation needed: Use only registered guides in remote villages],[Tamil translation needed: Use only registered guides in remote villages],[Bengali translation needed: Use only registered guides in remote villages],[Assamese translation needed: Use only registered guides in remote villages]
147,Stay on marked paths while visiting mountain paths,[Hindi translation needed: Stay on marked paths while visiting mountain paths],[Kannada translation needed: Stay on marked paths while visiting mountain paths],[Tamil translation needed: Stay on marked paths while visiting mountain paths],[Bengali translation needed: Stay on marked paths while visiting mountain paths],[Assamese translation needed: Stay on marked paths while visiting mountain paths]
148,Respect wildlife and keep 13 meters away in heritage sites,[Hindi translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Kannada translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Tamil translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Bengali translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Assamese translation needed: Respect wildlife and keep 13 meters away in heritage sites]
149,Dispose of trash properly to protect busy markets,[Hindi translation needed: Dispose of trash properly to protect busy markets],[Kannada translation needed: Dispose of trash properly to protect busy markets],[Tamil translation needed: Dispose of trash properly to protect busy markets],[Bengali translation needed: Dispose of trash properly to protect busy markets],[Assamese translation needed: Dispose of trash properly to protect busy markets]
150,Carry at least 4 liters of water when hiking in heritage sites,[Hindi translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Kannada translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Tamil translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Bengali translation needed: Carry at least 4 liters of water when hiking in heritage sites],[Assamese translation needed: Carry at least 4 liters of water when hiking in heritage sites]
151,Inform a friend before exploring beach resorts alone,[Hindi translation needed: Inform a friend before exploring beach resorts alone],[Kannada translation needed: Inform a friend before exploring beach resorts alone],[Tamil translation needed: Inform a friend before exploring beach resorts alone],[Bengali translation needed: Inform a friend before exploring beach resorts alone],[Assamese translation needed: Inform a friend before exploring beach resorts alone]
152,Avoid flashing valuables in busy markets to prevent theft,[Hindi translation needed: Avoid flashing valuables in busy markets to prevent theft],[Kannada translation needed: Avoid flashing valuables in busy markets to prevent theft],[Tamil translation needed: Avoid flashing valuables in busy markets to prevent theft],[Bengali translation needed: Avoid flashing valuables in busy markets to prevent theft],[Assamese translation needed: Avoid flashing valuables in busy markets to prevent theft]
153,Wear protective gear when riding bikes on desert trails,[Hindi translation needed: Wear protective gear when riding bikes on desert trails],[Kannada translation needed: Wear protective gear when riding bikes on desert trails],[Tamil translation needed: Wear protective gear when riding bikes on desert trails],[Bengali translation needed: Wear protective gear when riding bikes on desert trails],[Assamese translation needed: Wear protective gear when riding bikes on desert trails]
154,Keep emergency contacts saved before entering heritage sites,[Hindi translation needed: Keep emergency contacts saved before entering heritage sites],[Kannada translation needed: Keep emergency contacts saved before entering heritage sites],[Tamil translation needed: Keep emergency contacts saved before entering heritage sites],[Bengali translation needed: Keep emergency contacts saved before entering heritage sites],[Assamese translation needed: Keep emergency contacts saved before entering heritage sites]
155,Check weather alerts before traveling to crowded trains,[Hindi translation needed: Check weather alerts before traveling to crowded trains],[Kannada translation needed: Check weather alerts before traveling to crowded trains],[Tamil translation needed: Check weather alerts before traveling to crowded trains],[Bengali translation needed: Check weather alerts before traveling to crowded trains],[Assamese translation needed: Check weather alerts before traveling to crowded trains]
156,Use only registered guides in mountain paths,[Hindi translation needed: Use only registered guides in mountain paths],[Kannada translation needed: Use only registered guides in mountain paths],[Tamil translation needed: Use only registered guides in mountain paths],[Bengali translation needed: Use only registered guides in mountain paths],[Assamese translation needed: Use only registered guides in mountain paths]
157,Stay on marked paths while visiting heritage sites,[Hindi translation needed: Stay on marked paths while visiting heritage sites],[Kannada translation needed: Stay on marked paths while visiting heritage sites],[Tamil translation needed: Stay on marked paths while visiting heritage sites],[Bengali translation needed: Stay on marked paths while visiting heritage sites],[Assamese translation needed: Stay on marked paths while visiting heritage sites]
158,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
159,Dispose of trash properly to protect heritage sites,[Hindi translation needed: Dispose of trash properly to protect heritage sites],[Kannada translation needed: Dispose of trash properly to protect heritage sites],[Tamil translation needed: Dispose of trash properly to protect heritage sites],[Bengali translation needed: Dispose of trash properly to protect heritage sites],[Assamese translation needed: Dispose of trash properly to protect heritage sites]
160,Carry at least 2 liters of water when hiking in crowded trains,[Hindi translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Kannada translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Tamil translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Bengali translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Assamese translation needed: Carry at least 2 liters of water when hiking in crowded trains]
161,Inform a friend before exploring river ferries alone,[Hindi translation needed: Inform a friend before exploring river ferries alone],[Kannada translation needed: Inform a friend before exploring river ferries alone],[Tamil translation needed: Inform a friend before exploring river ferries alone],[Bengali translation needed: Inform a friend before exploring river ferries alone],[Assamese translation needed: Inform a friend before exploring river ferries alone]
162,Avoid flashing valuables in river ferries to prevent theft,[Hindi translation needed: Avoid flashing valuables in river ferries to prevent theft],[Kannada translation needed: Avoid flashing valuables in river ferries to prevent theft],[Tamil translation needed: Avoid flashing valuables in river ferries to prevent theft],[Bengali translation needed: Avoid flashing valuables in river ferries to prevent theft],[Assamese translation needed: Avoid flashing valuables in river ferries to prevent theft]
163,Wear protective gear when riding bikes on crowded trains,[Hindi translation needed: Wear protective gear when riding bikes on crowded trains],[Kannada translation needed: Wear protective gear when riding bikes on crowded trains],[Tamil translation needed: Wear protective gear when riding bikes on crowded trains],[Bengali translation needed: Wear protective gear when riding bikes on crowded trains],[Assamese translation needed: Wear protective gear when riding bikes on crowded trains]
164,Keep emergency contacts saved before entering crowded trains,[Hindi translation needed: Keep emergency contacts saved before entering crowded trains],[Kannada translation needed: Keep emergency contacts saved before entering crowded trains],[Tamil translation needed: Keep emergency contacts saved before entering crowded trains],[Bengali translation needed: Keep emergency contacts saved before entering crowded trains],[Assamese translation needed: Keep emergency contacts saved before entering crowded trains]
165,Check weather alerts before traveling to busy markets,[Hindi translation needed: Check weather alerts before traveling to busy markets],[Kannada translation needed: Check weather alerts before traveling to busy markets],[Tamil translation needed: Check weather alerts before traveling to busy markets],[Bengali translation needed: Check weather alerts before traveling to busy markets],[Assamese translation needed: Check weather alerts before traveling to busy markets]
166,Use only registered guides in river ferries,[Hindi translation needed: Use only registered guides in river ferries],[Kannada translation needed: Use only registered guides in river ferries],[Tamil translation needed: Use only registered guides in river ferries],[Bengali translation needed: Use only registered guides in river ferries],[Assamese translation needed: Use only registered guides in river ferries]
167,Stay on marked paths while visiting mountain paths,[Hindi translation needed: Stay on marked paths while visiting mountain paths],[Kannada translation needed: Stay on marked paths while visiting mountain paths],[Tamil translation needed: Stay on marked paths while visiting mountain paths],[Bengali translation needed: Stay on marked paths while visiting mountain paths],[Assamese translation needed: Stay on marked paths while visiting mountain paths]
168,Respect wildlife and keep 13 meters away in remote villages,[Hindi translation needed: Respect wildlife and keep 13 meters away in remote villages],[Kannada translation needed: Respect wildlife and keep 13 meters away in remote villages],[Tamil translation needed: Respect wildlife and keep 13 meters away in remote villages],[Bengali translation needed: Respect wildlife and keep 13 meters away in remote villages],[Assamese translation needed: Respect wildlife and keep 13 meters away in remote villages]
